Disease	Drug
Pervasive developmental disorder 	cx-516
Schizophrenia 	cx-516
Pain 	codeine
Cough 	codeine
Seasonal allergic rhinitis 	pollen allergen immunotherapy
Chronic obstructive pulmonary disease 	indacaterol
Asthma 	indacaterol
Chronic obstructive pulmonary disease 	bococizumab
Solid tumour/cancer 	galamustine hydrochloride
Haematological malignancy 	rgb-286638
Plaque psoriasis 	gsk2894512
Atopic dermatitis 	gsk2894512
Hepatitis C virus infection 	hepatitis c virus e2 protein vaccines
Metastatic malignant neoplasm 	dcc-2909
Atopic dermatitis 	swt-05141
Multiple myeloma 	ink128
Breast cancer 	ink128
Shock 	peg-hb/hs
Asthma 	noberastine
Virus infection 	cidofovir prodrugs
Bronchitis 	ambroxol
Major depressive disorder 	ssr411298
Glioblastoma multiforme 	pmx-700
Diabetic complication 	bcl-5
Solid tumour/cancer 	eht-107
Influenza virus infection 	acam-flu-a
Atopic dermatitis 	gbr 830
Solid tumour/cancer 	bms-833923
Norovirus infection 	norovirus virus-like particle vaccine
Obesity 	propylhexedrine
Heart arrhythmia 	nc-1006
Major depressive disorder 	snp-002
Prostate cancer 	polyestradiol phosphate
Chronic obstructive pulmonary disease 	azd-0275
Rheumatoid arthritis 	azd-0275
Solid tumour/cancer 	k252a
Autoimmune diabetes 	wsbi-19711a
Human immunodeficiency virus infection 	hiv-specific star fusions
Attention deficit hyperactivity disorder 	jns-001
Prostate cancer 	vn/107-1
Primitive neuroectodermal tumour medulloblastoma 	vismodegib
Basal cell carcinoma 	vismodegib
Cancer related pain 	pmid25666693-compound-70
Inflammatory pain 	pmid25666693-compound-70
Osteoarthritis pain 	pmid25666693-compound-70
Neuropathic pain 	pmid25666693-compound-70
Central nervous system disease 	gadodiamide
Hypothyroidism 	thyrotropin
Inflammatory bowel disease 	kt-95
Hyperlipidaemia 	lecimibide
Lymphoma 	anti-cd19-car t
leukaemia 	anti-cd19-car t
Myocardial infarction 	c3bs-gqr-1
Ocular disease 	nv.rym.09
Schizophrenia 	amisulpride
Pest attack 	insecticide
Brain cancer 	borocaptate sodium b 10
Myelodysplastic syndrome 	img-7289
Myelofibrosis 	img-7289
Acute myeloid leukaemia 	img-7289
Chronic obstructive pulmonary disease 	gw-3333
Solid tumour/cancer 	sphingosome encapsulated vinorelbine
Bacterial infection 	anti-seb mabs
Kidney disease 	ctap101 capsules
Bacterial infection 	povidone-iodine
Lymphoma 	gsk2126458
Solid tumour/cancer 	an-1006
Lymphoma 	cmd-003
Non-hodgkin lymphoma 	cmd-003
Bacterial infection 	a-75729
Hypercholesterolaemia 	pf-04950615
Artery stenosis 	novolimus
Obesity 	pmid26161824-compound-69
Poison intoxication 	ipecac
Myocardial infarction 	nanofibers
Hepatitis B virus infection 	hb-as02v
Xerophthalmia 	chitosan-thiomer
Recurrent glioblastoma 	anti-lag3 mab
Pemphigus vulgaris 	rituxan immunology
Solid tumour/cancer 	aezs-126
Diabetic complication 	insulin zinc susp recombinant human
Solid tumour/cancer 	edp-23
Pancreatic malfunction 	ultrase
Bipolar disorder 	lamotrigine
Epilepsy 	lamotrigine
Diabetic complication 	cp-331684
Refractory chronic myeloid leukaemia 	pipobroman
Hepatitis B virus infection 	comvac5
Hematologic tumour 	amg 319
Myeloid leukaemia 	amg 319
Age-related macular degeneration 	amd-aav7
Albinism 	pmid26815044-compound-121
Ephelides 	pmid26815044-compound-121
Melasma 	pmid26815044-compound-121
Menkes disease 	pmid26815044-compound-121
Senile lentigines 	pmid26815044-compound-121
Cancer related pain 	pmid25666693-compound-73
Inflammatory pain 	pmid25666693-compound-73
Neuropathic pain 	pmid25666693-compound-73
Osteoarthritis pain 	pmid25666693-compound-73
Sickle-cell disorder 	pegylated carboxyhemoglobin
Rheumatoid arthritis 	gdc-0834
Rheumatoid arthritis 	gsk-1827771
Solid tumour/cancer 	salvicine
Bleeding disorder 	protamine
Epilepsy 	jnj-40411813
Neurological disorder 	a-558693
Glaucoma/ocular hypertension 	carteolol
Hepatitis C virus infection 	mk-8742
Vitamin K deficiency 	menadione
Prostate cancer 	menadione
Diabetic complication 	azd-7545
Metastatic cancer 	thieno[3,2-c]pyridine-7-carboxamide derivative 2
Solid tumour/cancer 	thieno[3,2-c]pyridine-7-carboxamide derivative 2
Solid tumour/cancer 	ro-09-4889
Pain 	c-myb
Acute myeloid leukaemia 	pr1 peptide antigen vaccine
Rheumatoid arthritis 	sr-26831
Epilepsy 	snp-001
Solid tumour/cancer 	fd-891
Obesity 	imidazole derivative 1
Endotoxic shock 	tss-hig
Type-2 diabetes 	bms-210285
Malaria 	isoquine
Obesity 	liraglutide
Type-2 diabetes 	liraglutide
Multiple sclerosis 	fumaric acid
Pustular palmoplantar psoriasis 	fumaric acid
Virus infection 	imvamune smallpox vaccine
Diabetic neuropathy 	da-9801
Bacterial infection 	pd-117596
Solid tumour/cancer 	b-581
Cardiovascular disease 	ax-200
Diabetic macular edema 	kvd001
Hepatocellular carcinoma 	c-met/pd-l1 car-t cell
Edema 	methyclothiazide
Hypertension 	methyclothiazide
Influenza A virus infection 	np-2
Inflammation 	zp-002
Asthma 	win-901
Hepatitis 	pmid30107136-compound-example45
Human immunodeficiency virus infection 	pmid30107136-compound-example45
Solid tumour/cancer 	pmid30107136-compound-example45
Infectious disease 	pmid30107136-compound-example45
Myelodysplastic syndrome 	hemamax
Pain 	propoxyphene hydrochloride
Progressive supranuclear palsy 	mk 8719
Cerebrovascular ischaemia 	acea-1416
Bone development disorder 	dwp-431
Depression 	fluvoxamine
Solid tumour/cancer 	aurora a kinase inhibitors (cancer), evotec
Solid tumour/cancer 	ctp-conjugated wt1 peptide
Solid tumour/cancer 	av-370
Obesity 	pyrazoline derivative 4
Crohn disease 	pmid26651364-compound-121
Ulcerative colitis 	pmid26651364-compound-121
Urinary tract infection 	pmid26651364-compound-121
Haematological malignancy 	gsk3174998
Solid tumour/cancer 	gsk3174998
Ulcerative colitis 	avx-470
Inflammatory bowel disease 	avx-470
Syphilis infection 	zithromax
Inflammation 	az-11657312
Pain 	zfp tf
Gastrointestinal stromal tumour 	cdx-0158
Solid tumour/cancer 	cdx-0158
Tumour 	cdx-0158
Autoimmune diabetes 	tnf-alpha production inhibitors
Cardiovascular disease 	prt-060096
Acute myeloid leukaemia 	cd56-specific gene-engineered t cells
Psychotic disorder 	abs-201
Solid tumour/cancer 	hg-1220
Brain disease 	bc-19
Obesity 	pyrazole derivative 56
Solid tumour/cancer 	crt0066101
Nervous system disease 	sun-44
Acute myeloid leukaemia 	actimab-a
Fungal infection 	ro-23-7777
Asthma 	cnto-1959
Plaque psoriasis 	cnto-1959
B-cell lymphoma 	gbr-401
Hunter syndrome 	lg-1041
Bacterial infection 	hmr-3787
Inflammation 	ld201t1
Acute myeloid leukaemia 	pcm-075
Prostate cancer 	pcm-075
Solid tumour/cancer 	pcm-075
Lung cancer 	efaproxyn
Solid tumour/cancer 	nps-1
Articular cartilage disorder 	chondroprotective agents
Chronic/stable angina 	ranolazine
Paroxysmal atrial fibrillation 	ranolazine
Skin allergy 	mometasone
Anxiety disorder 	levotofisopam
Bacterial infection 	ar-709
Major depressive disorder 	npt-500
Lymphoma 	cep-18050
Infectious disease 	hydrogen peroxide
Coronavirus infection 	virion project
Onychomycosis 	penecure
Glaucoma/ocular hypertension 	bvt.28949
Human immunodeficiency virus infection 	darunavir
Alzheimer disease 	gt 1061
Lymphoma 	anti-cd22-car-transduced t cells
leukaemia 	anti-cd22-car-transduced t cells
Myocardial infarction 	ep-3533
Lymphoma 	gs-9820
Chronic lymphocytic leukaemia 	gs-9820
Neurological disorder 	recombinant botulinum toxin
Diabetic macular edema 	paramethasone
Inflammation 	paramethasone
Myasthenia gravis 	d17.4
Multiple sclerosis 	tnfr1 nam
Kidney transplant rejection 	triplelastat
Ulcerative colitis 	anrukinzumab
Asthma 	anrukinzumab
Asthma 	laevo-bambuterol
Acute lymphoblastic leukaemia 	cart-19
Crohn disease 	pf-06480605
Major depressive disorder 	edg-006
Bladder cancer 	bc-821
Haemophilia B 	nav therapeutic
Human immunodeficiency virus infection 	hiv-1 rnase h inhibitors
Acute myeloid leukaemia 	pnk-007
Multiple myeloma 	pnk-007
Haematological malignancy 	bms-863233
Crohn disease 	aryl mannoside derivative 4
Ulcerative colitis 	aryl mannoside derivative 4
Urinary tract infection 	aryl mannoside derivative 4
Respiratory tract infection 	ceftolozane sulfate
Hypogonadism 	estropipate
Neuropathic pain 	nt-13317
Breast cancer 	me-344
Solid tumour/cancer 	me-344
Diabetic complication 	glycodiazine
Human immunodeficiency virus infection 	nrti
Obstructive sleep apnea 	ppi-03306
Fatty liver disease 	mb-11055
Seborrhea 	m-110101
Diabetic foot ulcer 	nu-3
Bacterial infection 	nu-3
Crohn disease 	pmid26651364-compound-108
Ulcerative colitis 	pmid26651364-compound-108
Urinary tract infection 	pmid26651364-compound-108
Multiple sclerosis 	cladribine tablets
Relapsing-remitting multiple sclerosis 	cladribine tablets
Anaesthesia 	gantacurium chloride
Haematological malignancy 	plx51107
Solid tumour/cancer 	plx51107
Solid tumour/cancer 	iki-1
Psoriasis vulgaris 	ad-177
Peanut hypersensitivity 	peanut allergy vaccine
Acute lymphoblastic leukaemia 	autologous anti-cd19car-4-1bb-cd3zeta-egfrt-expressing t lymphocytes
Non-hodgkin lymphoma 	autologous anti-cd19car-4-1bb-cd3zeta-egfrt-expressing t lymphocytes
Chronic lymphocytic leukaemia 	autologous anti-cd19car-4-1bb-cd3zeta-egfrt-expressing t lymphocytes
Mantle cell lymphoma 	autologous anti-cd19car-4-1bb-cd3zeta-egfrt-expressing t lymphocytes
Neisseria meningitis infection 	beta-lactam
Coagulation defect 	vu0364739
Arteriosclerosis 	nte-122
Motor neurone disease 	tdi-0102
Epileptic seizures 	adci
Bacterial infection 	mupirocin
Solid tumour/cancer 	fruquintinib
Prostate cancer 	apvo414
Generalized anxiety disorder 	krl-104
Bordetella pertussis infection 	pentaxim
Immune System disease 	anti-il31
Acute myocardial infarction 	rec-01
Asthma 	recombinant anti-ige fabs
Bacterial infection 	noso-74
Human immunodeficiency virus infection 	tnk-6123
Solid tumour/cancer 	pf-06263507
Glaucoma/ocular hypertension 	neurosolve
Solid tumour/cancer 	xl147
Solid tumour/cancer 	dna alkylating agents
Crohn disease 	biphenyl mannoside derivative 12
Ulcerative colitis 	biphenyl mannoside derivative 12
Urinary tract infection 	biphenyl mannoside derivative 12
Acute radiation syndrome 	prochyma
Graft-versus-host disease 	prochyma
Crohn disease 	prochyma
Malaria 	artemisinin sp
Bleeding disorder 	tb-102
Breast cancer 	upamostat
Solid tumour/cancer 	clr-1404
Type-2 diabetes 	pf-05175157
Malaria 	dna-ad
Norovirus infection 	mc-d11
Hyperlipidaemia 	cerivastatin
Multiple myeloma 	cerivastatin
Bladder cancer 	ap-300
Haematological malignancy 	rg7596
Neisseria meningitis infection 	meningococcal cyw vaccine
Depression 	antalarmin
Cardiovascular disease 	nv-04
Solid tumour/cancer 	mdx-1203
Cardiovascular disease 	ct-406
Albinism 	monoamine derivative 3
Ephelides 	monoamine derivative 3
Menkes disease 	monoamine derivative 3
Senile lentigines 	monoamine derivative 3
Melasma 	monoamine derivative 3
Inflammation 	xpro-1595
Diabetic neuropathy 	epalrestat
Pain 	epalrestat
Acute otitis media 	ciprofloxacin+dexamethasone
Otitis externa 	ciprofloxacin+dexamethasone
Major depressive disorder 	maprotiline
Retinopathy 	superoxide dismutase mimetics
Renal cell carcinoma 	lenvima
Solid tumour/cancer 	chromomycin a3
Anxiety disorder 	bms-561388
Solid tumour/cancer 	deslorelin
Solid tumour/cancer 	mdx-1411
Hypothyroidism 	bct303
Solid tumour/cancer 	fp-1039/hgs1036
Immune System disease 	octagam
Solid tumour/cancer 	doxifluridine
Breast cancer 	tf 2-targeted bispecific antibody
Hypertension 	perindopril
Myocardial infarction 	imd-1622
Heart failure 	tolvaptan
Hyponatraemia 	tolvaptan
Hypotension 	tbc-3711
Melanoma 	msb0010445
Solid tumour/cancer 	rbbx-01
Systemic lupus erythematosus 	medi0700
Prostate cancer 	g-115
Solid tumour/cancer 	ccx-662
leukaemia 	allogeneic cart-19
Multiple myeloma 	p-bcma-101
Osteoarthritis 	zucapsacin
Neurodegenerative disorder 	ni-105
Seizure disorder 	divalproex sodium
Encephalitis virus infection 	pav-059
Dutch elm disease 	sirolimus
Organ transplant rejection 	sirolimus
Parkinson disease 	spheramine
Duchenne dystrophy 	bmn045
Neurological disorder 	prx-12255
Fungal infection 	ib-07a085
Mucositis 	tk-112690
Hepatitis C virus infection 	idx136
Human immunodeficiency virus infection 	argotom-vax
Cachexia 	apd-209
Ovarian cancer 	alvespimycin hydrochloride
Refractory hematologic malignancy 	alvespimycin hydrochloride
Haemophilus influenza 	haemophilus influenzae b (hib) vaccine
Breast cancer 	tigatuzumab
Colorectal cancer 	tigatuzumab
Liver cancer 	tigatuzumab
Ovarian cancer 	tigatuzumab
Pancreatic cancer 	tigatuzumab
Acute lymphoblastic leukaemia 	cd137 car-t cell
B-cell lymphoma 	cd137 car-t cell
Mucopolysaccharidosis 	laronidase
Complex regional pain syndrome 	neridronate intravenous
Cholangiocarcinoma 	bgj398
Solid tumour/cancer 	bgj398
Coagulation defect 	desirudin recombinant
Liver disease 	gai-122
Solid tumour/cancer 	aps-3010
Malaria 	kae609
Colorectal cancer 	sc-006
Solid tumour/cancer 	sc-006
Solid tumour/cancer 	pat-csl1
Diabetic complication 	ds-7309
Solid tumour/cancer 	plx9486
Gastrointestinal stromal tumour 	plx9486
Wound healing 	endogenous human peptide ll-37
Alzheimer disease 	chf-5074
Virus infection 	mnlp-18
Transthyretin familial amyloid cardiomyopathy 	tafamidis meglumine
Amyloid cardiomyopathy 	tafamidis meglumine
Transthyretin amyloid cardiomyopathy 	tafamidis meglumine
Gastroesophageal reflux disease 	m-0004
Hypertension 	doxazosin
Albinism 	resorcinol compound 15
Ephelides 	resorcinol compound 15
Melasma 	resorcinol compound 15
Menkes disease 	resorcinol compound 15
Senile lentigines 	resorcinol compound 15
Wound healing 	ade-lam
Ischemia 	ski-758
Diabetic nephropathy 	nerenone
Asthma 	hd-101
Type-2 diabetes 	pb-1023
Asthma 	mepolizumab
Severe asthma 	mepolizumab
B-cell lymphoma 	dual specificity cd19 and cd22 car-t cell
Diffuse large B-cell lymphoma 	dual specificity cd19 and cd22 car-t cell
Lymphoma 	dual specificity cd19 and cd22 car-t cell
Solid tumour/cancer 	la22-radioimmunoconjugates
Human immunodeficiency virus infection 	single tablet regimen
Colorectal cancer 	xilonix
Non-small-cell lung cancer 	xilonix
Acute lung injury 	calfactant
Dwarfism 	syntropin
Acute myeloid leukaemia 	at-406
Lymphoma 	at-406
Solid tumour/cancer 	at-406
Familial hypercholesterolemia 	mgl-3196
Hyperlipidaemia 	mgl-3196
Pancreatic ductal carcinoma 	am0010
Renal cell carcinoma 	am0010
Solid tumour/cancer 	am0010
Non-small-cell lung cancer 	am0010
Atrial fibrillation 	bucindolol
Hypertension 	bucindolol
Hypophosphatasia 	sevelamer hydrochloride
Asthma 	ahcq
Type-2 diabetes 	dulaglutide
Albinism 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 3
Melasma 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 3
Menkes disease 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 3
Senile lentigines 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 3
Ephelides 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 3
Human immunodeficiency virus infection 	vaccine, gp 120
Bacterial infection 	ramoplanin
Hypoparathyroidism 	pco371
Bacterial infection 	ofloxacin
Solid tumour/cancer 	engineered toxin bodies
Hypertension 	b244
Solid tumour/cancer 	pat-sm5
Head and neck cancer 	sf1126
Solid tumour/cancer 	sf1126
Hepatocellular carcinoma 	sf1126
Virus infection 	fgi-106
Alzheimer disease 	abt-957
Type-2 diabetes 	kdt-501
Inflammation 	kdt-501
Dermatological disease 	am-643
Solid tumour/cancer 	131i-clr-1404
Asthma 	rimiterol
Insomnia 	quazepam
Multiple myeloma 	bb2121
Psychotic disorder 	nnc-22-0031
Solid tumour/cancer 	cwp-231
Schizophrenia 	prolixin decanoate
Myalgia 	nc-003
Breast cancer 	sng-8023
Angiogenesis disorder 	gkt-04
Solid tumour/cancer 	sc-236
Solid tumour/cancer 	as-1405
Multiple sclerosis 	ic-84
Bacterial infection 	ro-09-1428
Obesity 	pioglitazone
Diabetic complication 	pioglitazone
Type-2 diabetes 	pioglitazone
Solid tumour/cancer 	nk-314
Atrial fibrillation 	azd-7009
Alzheimer disease 	alzheimers disease therapeutics
Solid tumour/cancer 	anti-mesothelin car-t cells
Skin photodamage 	kinetin
Melanoma 	dc-il-12 dna therapeutic
Solid tumour/cancer 	l-745631
Atopic dermatitis 	dm-107
Breast cancer 	fulvestrant intraductal microcatheter delivery
Non-insulin dependent diabetes 	bl-6010
Headache 	cl-h02
Autoimmune diabetes 	mcs-18
Cardiac disease 	cl-284027
Parkinson disease 	tozadenant
Multiple myeloma 	gvax multiple
Familial hypercholesterolemia 	mbx-8025
Obesity 	mbx-8025
Primary biliary cholangitis 	mbx-8025
Staphylococcus infection 	ht-61
Small-cell lung cancer 	belagenpumatucel-l
Non-small-cell lung cancer 	belagenpumatucel-l
Solid tumour/cancer 	psp-d-gitrl
Solid tumour/cancer 	8-chloro-adenosine
Retinopathy 	ren-003
Hypoglycemia 	mar-531
Solid tumour/cancer 	erk inhibitors
Attention deficit hyperactivity disorder 	pf-08
Pruritus 	dup-983
Rheumatoid arthritis 	pg-760564
Human immunodeficiency virus infection 	mpi-461359
Major depressive disorder 	nct-400
Schizophrenia 	d1 agonist d2 antagonist
Breast cancer 	hedgehog labelled stem cells
Colorectal cancer 	vaccines, immunobody, colorectal cancer
Fatigue 	pg-2
Amyloid cardiomyopathy 	ionis-ttrrx
Malignant carcinoid syndrome 	cb-183315
Urinary tract infection 	ceftezole
Human immunodeficiency virus infection 	mk-6186
Macular degeneration 	gsk933776
Albinism 	benzothiazole analog 3
Ephelides 	benzothiazole analog 3
Melasma 	benzothiazole analog 3
Menkes disease 	benzothiazole analog 3
Senile lentigines 	benzothiazole analog 3
Human immunodeficiency virus-1 infection 	remunex
Pain 	pti-601
Prostate cancer 	isis-ar
Solid tumour/cancer 	bay 79-4620
Acute myeloid leukaemia 	k562/gm-csf
Pruritus 	nst-141
Parkinson disease 	bgc-20-1259
Human immunodeficiency virus infection 	1,2,4-oxadiazole derivative 2
Infectious disease 	1,2,4-oxadiazole derivative 2
Hepatitis 	1,2,4-oxadiazole derivative 2
Solid tumour/cancer 	1,2,4-oxadiazole derivative 2
Pseudomonas infection 	panobacumab
Ventilator-associated pneumonia 	panobacumab
Hospital-acquired pneumonia 	panobacumab
Worm infection 	pyrantel
Flavivirus infection 	revax-tbe
Hepatitis 	pmid30107136-compound-general structure29
Human immunodeficiency virus infection 	pmid30107136-compound-general structure29
Infectious disease 	pmid30107136-compound-general structure29
Solid tumour/cancer 	pmid30107136-compound-general structure29
Bacterial infection 	edp-420
Multiple myeloma 	gmi-1271
Acute myeloid leukaemia 	gmi-1271
Staphylococcus infection 	altastaph
Menkes disease 	cyclohexyl carbamate derivative 3
Albinism 	cyclohexyl carbamate derivative 3
Ephelides 	cyclohexyl carbamate derivative 3
Melasma 	cyclohexyl carbamate derivative 3
Senile lentigines 	cyclohexyl carbamate derivative 3
Arteriosclerosis 	k-604
Thrombocytopenia 	promacta
Bacterial infection 	pher-o2
Ephelides 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 7
Melasma 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 7
Menkes disease 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 7
Albinism 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 7
Senile lentigines 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 7
MRSA infection 	azd-9742
Thrombosis 	sn429
Solid tumour/cancer 	e-758
Cancer related pain 	pmid25666693-compound-61
Inflammatory pain 	pmid25666693-compound-61
Neuropathic pain 	pmid25666693-compound-61
Osteoarthritis pain 	pmid25666693-compound-61
Lymphoma 	autologous idiotypic cancer vaccin
Bacterial infection 	furazolidinone
Esophageal cancer 	golnerminogene pradenovac
Poison intoxication 	anavip
Chronic myelogenous leukaemia 	interferon alfa-n1
Rheumatoid arthritis 	vgx-1027
Colorectal cancer 	asp4131
Breast cancer 	asp4131
Parkinson disease 	patrome
Pain 	sor-n43
Neurodegenerative disorder 	ppls
Narcolepsy 	jnj-5207852
Schizophrenia 	sulpiride
Malaria 	kaf156
Prostate cancer 	jnj-64041809
Leishmania infection 	gfc-036
Chronic low back pain 	bicifadine
Neuropathic pain 	bicifadine
Prostate cancer 	fluciclovine f-18
Human immunodeficiency virus-1 infection 	gsk-812397
Amyotrophic lateral sclerosis 	ibudilast
Methamphetamine dependence 	ibudilast
Multiple sclerosis 	ibudilast
Alcohol dependence 	ibudilast
Opioid dependence 	ibudilast
Overactive bladder 	kuc-7483
Asthma 	cep1347
Bacterial infection 	glutamate racemase inhibitors
Helicobacter infection 	glutamate racemase inhibitors
Colorectal cancer 	idm-2101
Central nervous system disease 	cigb-845
Blood transfusion 	hextend
Nervous system paraneoplastic or autoimmune disorders 	immune globulin subcutaneous 20%
Chlamydia infection 	bdna-003
Solid tumour/cancer 	triptorelin
Cerebrovascular ischaemia 	nt-kc-005
Cerebrovascular ischaemia 	tp-20
Amyotrophic lateral sclerosis 	amx0035
Brain cancer 	nsd-551
Hepatitis B virus infection 	oncophage vitespen
Solid tumour/cancer 	cgp-52411
Chronic obstructive pulmonary disease 	pym-60001
Prostate cancer 	therapeutic peptide subunit vaccine
Solid tumour/cancer 	ezn-4482
Solid tumour/cancer 	sv-br-1-gm
Bladder cancer 	ad-ifn-alpha
Parkinson disease 	dexefaroxan
Gram-positive bacterial infection 	doripenem
Urinary tract infection 	doripenem
Myocardial infarction 	pp-099
Arteriosclerosis 	rxp-470
Diffuse large B-cell lymphoma 	cc-122
Hepatocellular carcinoma 	cc-122
Lymphoma 	cc-122
Recurrent glioblastoma 	cc-122
Solid tumour/cancer 	cc-122
Multiple myeloma 	cc-122
Chronic lymphocytic leukaemia 	cc-122
Influenza virus infection 	fgi-101-1a6
Arthritis 	sodium succinate
Bacterial infection 	d2a21
Graft-versus-host disease 	gavilimomab
Colorectal cancer 	labetuzumab govitecan
Solid tumour/cancer 	oncology therapeutics
Solid tumour/cancer 	gtp-200
Pain 	cp-331
Epileptic seizures 	mdl-27192
Drug abuse 	gsk598809
Obesity 	pyrazole derivative 41
Gout 	oxeglitazar
Solid tumour/cancer 	eg-vac
Pain 	mor-6292
Diarrhea 	gt160-246
Solid tumour/cancer 	1069c
Solid tumour/cancer 	tr-2
Hypertension 	betaxolol
Breast cancer 	rostaporfin
Macular degeneration 	rostaporfin
Basal cell carcinoma 	rostaporfin
Solid tumour/cancer 	rostaporfin
Inflammation 	immlg-5521
Solid tumour/cancer 	vivia-007
Obesity 	bms-812204
Solid tumour/cancer 	trabectedin
HIV-associated dementia 	inp-02
Pain 	celecoxib
Rheumatoid arthritis 	celecoxib
Duodenal ulcer 	yh-4808
Crohn disease 	biphenyl mannoside derivative 3
Ulcerative colitis 	biphenyl mannoside derivative 3
Urinary tract infection 	biphenyl mannoside derivative 3
Friedreich's ataxia 	tak-831
Schizophrenia 	tak-831
Solid tumour/cancer 	ly2606368 msoh h2o
Chronic pain 	rel-1015
Human immunodeficiency virus infection 	cytolin
Cachexia 	steroid hormone conjugates
Cerebrovascular ischaemia 	cns-5788
Pulmonary hypertension 	tolazoline
Solid tumour/cancer 	pnt-200
Angina pectoris 	siratiazem
Hypertension 	tertatolol
Solid tumour/cancer 	wbz-7
Psoriasis vulgaris 	efalizumab
Renal transplantation 	efalizumab
Alzheimer disease 	myo-inositol
Solid tumour/cancer 	ro-5287373
Cancer related pain 	pmid25666693-compound-88
Inflammatory pain 	pmid25666693-compound-88
Neuropathic pain 	pmid25666693-compound-88
Osteoarthritis pain 	pmid25666693-compound-88
Factor VIII deficiency 	obi-1
Osteoporosis 	tnap inhibitors
Type-2 diabetes 	krp-104
Pain 	oxycodone
Back pain 	oxycodone
Solid tumour/cancer 	bay 86-9766
Hypertension 	clonidine
Pain 	sar292833
Solid tumour/cancer 	osu-2s
Non-insulin dependent diabetes 	2-18f-fe-5-br-glyburide
Malignant glioma 	pmid27828716-compound-bio-acetoxime
Tuberculosis 	q203
Prostate cancer 	estramustine
Hodgkin lymphoma 	mechlorethamine
T-cell lymphoma 	mechlorethamine
Cardiovascular disease 	pa-10040
Chronic myelogenous leukaemia 	ai-1008
Hepatitis B virus infection 	gsk-2197870a
Non-hodgkin lymphoma 	apilimod dimesylate
Pneumococcal infection 	gsk-2189242a
Hypertension 	aliskiren
Yersinia infection 	yersinia pestis vaccine
Dermatological disease 	betamethasone valerate
Solid tumour/cancer 	incagn1949
Solid tumour/cancer 	mdx-1140
Solid tumour/cancer 	ly-2875358
Solid tumour/cancer 	ly-gsk-3i
Solid tumour/cancer 	vxm-01
Solid tumour/cancer 	m-carboxycinnamic acid bishydroxamide
Cardiac output syndrome 	levosimendan iv
Pulmonary hypertension 	levosimendan iv
Insulin-dependent diabetes 	mct-275
Solid tumour/cancer 	hoe-33342
Obesity 	weight regulating human endocrine peptide
Influenza A virus H5N1 infection 	vgx-3400
Solid tumour/cancer 	bms-986148
Diabetic neuropathy 	grt-6005
Human immunodeficiency virus infection 	tmb-358
Alzheimer disease 	ac-4402
Obesity 	sulfonamide derivative 1
Cognitive impairment 	thiopilocarpine
Cytomegalovirus infection 	benzimidazole
Obesity 	mod-1002
Virus infection 	sorivudine
Hodgkin lymphoma 	brentuximab vedotin
Solid tumour/cancer 	kos-1803
Rheumatoid arthritis 	fm-201
Venom poisoning 	crotalidae fab
Melanoma 	gcan 101
Huntington disease 	ac-0523
Multiple sclerosis 	tv-1102
High blood cholesterol level 	dextrothyroxine sodium
Recurrent glioblastoma 	au105
Major depressive disorder 	grn-529
Allergy 	grass pollen immunotherapy
Ophthalmic surgery injury 	trypan blue
Solid tumour/cancer 	ar-00341677
Bacillus anthracis infection 	mis-416/immunogen
Metabolic disorder 	fgf21-pke adnectin
Bronchitis 	stepronin
Knee injuries 	oti-030
Hepatitis 	pmid30107136-compound-example4
Human immunodeficiency virus infection 	pmid30107136-compound-example4
Infectious disease 	pmid30107136-compound-example4
Solid tumour/cancer 	pmid30107136-compound-example4
Solid tumour/cancer 	csp-9222
Asthma 	aminophylline
Bronchial asthma 	aminophylline
Obesity 	athx-105
Bipolar disorder 	pf-03800130
Tobacco dependence 	nicotine-q
Cardiac failure 	mgn-9103
Hepatitis B virus infection 	mg-1105
Asthma 	valergen-dp (subcutaneous)
Acute myeloid leukaemia 	ficlatuzumab
Non-small-cell lung cancer 	ficlatuzumab
Pancreatic cancer 	ficlatuzumab
Squamous cell carcinoma 	ficlatuzumab
Multiple myeloma 	ficlatuzumab
Solid tumour/cancer 	loxo-195
Solid tumour/cancer 	ai-850
Malaria 	malaria vaccine
Solid tumour/cancer 	ono-4578
Arthritis 	tok-8801
Inflammation 	sa-6541
Obesity 	aminoazetidine derivative 6
Colorectal cancer 	brontictuzumab
Solid tumour/cancer 	autologous dendritic cell vaccines
Inflammatory breast cancer 	pazopanib + tyverb/tykerb
Ischemic stroke 	cnt0-0007
Respiratory tract cancer 	inhaled retinoids
Solid tumour/cancer 	anetumab ravantansine
Neurodegenerative disorder 	l-689560
B-cell chronic lymphocytic leukaemia 	anti-cd19-car vector-transduced t cells
B-cell non-hodgkin lymphoma 	anti-cd19-car vector-transduced t cells
Acute lymphoblastic leukaemia 	anti-cd19-car vector-transduced t cells
